code_from,code_to,ccmathstandard_id,ccmathstandard_id_other
5.NBT.B.7,6.NS.B.3,222,274
5.NF.A.1,5.NBT.B.7,224,222
5.NF.A.1,5.NF.A.2,224,225
5.NF.A.1,6.EE.B.7,224,259
5.NF.A.1,7.NS.A.1.d,224,333
5.NF.A.2,5.MD.B.2,225,204
5.NF.B.3,6.RP.A.2,227,291
5.NF.B.3,7.NS.A.2.d,227,347
5.NF.B.4,5.NBT.B.7,228,222
5.NF.B.4,5.NF.B.5,228,232
5.NF.B.4,6.EE.B.7,228,259
5.NF.B.4,6.G.A.1,228,263
5.NF.B.4,7.NS.A.2.c,228,345
5.NF.B.4,7.SP.B.3,228,370
5.NF.B.5,6.RP.A.1,232,288
5.NF.B.6,5.MD.B.2,239,204
5.NF.B.7,5.MD.B.2,240,204
5.NF.B.7,5.NBT.B.7,240,222
5.NF.B.7,6.NS.A.1,240,272
5.NF.B.7,6.RP.A.2,240,291
5.OA.A.1,5.OA.A.2,244,247
5.OA.A.2,6.EE.A.2,247,250
5.OA.A.2,6.EE.A.3,247,254
5.OA.A.2,6.EE.A.4,247,255
5.OA.A.2,6.NS.B.4,247,275
5.OA.B.3,6.EE.A.2,248,250
5.OA.B.3,6.EE.C.9,248,261
5.OA.B.3,6.RP.A.1,248,288
6.EE.A.1,6.EE.A.2,249,250
6.EE.A.1,8.EE.A.1,249,394
6.EE.A.2,6.EE.A.3,250,254
6.EE.A.2,6.EE.A.4,250,255
6.EE.A.2,6.EE.B.5,250,256
6.EE.A.2,6.EE.B.6,250,257
6.EE.A.2,HS.A-SSE.A.1,250,521
6.EE.A.3,7.EE.A.1,254,308
6.EE.A.4,7.EE.A.1,255,308
6.EE.B.5,8.EE.A.2,256,396
6.EE.B.5,8.EE.C.8,256,411
6.EE.B.5,HS.A-REI.A.1,256,507
6.EE.B.5,HS.A-REI.D.10,256,518
6.EE.B.6,7.EE.B.4.a,257,312
6.EE.B.6,7.EE.B.4.b,257,313
6.EE.B.7,7.EE.B.4.a,259,312
6.EE.B.8,7.EE.B.4.b,260,313
6.G.A.1,6.G.A.4,263,267
6.G.A.1,7.G.A.1,263,316
6.G.A.1,7.G.B.4,263,321
6.G.A.1,7.G.B.6,263,323
6.G.A.1,HS.G-MG.A.1,263,604
6.G.A.1,HS.G-SRT.D.9,263,619
6.G.A.2,7.G.B.6,265,323
6.G.A.3,8.G.A.3,266,431
6.G.A.3,8.G.B.8,266,441
6.G.A.4,7.G.B.6,267,323
6.NS.A.1,6.EE.B.7,272,259
6.NS.A.1,7.NS.A.2.c,272,345
6.NS.A.1,7.SP.B.3,272,370
6.NS.B.2,6.NS.B.3,273,274
6.NS.B.3,7.NS.A.3,274,349
6.NS.B.4,6.EE.A.3,275,254
6.NS.B.4,6.EE.A.4,275,255
6.NS.C.5,6.NS.C.6.a,276,278
